,Generic Details,,,,,,,Truck charging Deatils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Name,Address,City,Zipcode,Phone,Website,Email,Truck charging,Truck charging _ Description,Seurity,,,,Driver facilities,,,,,Restrictions,,Bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opening hours,Arrival Day,Arrival Time,Departure Day,Departure Time
,,,,,,,,,,Fully Fenced,Light at Night,CCTV,Security Guard,Restrooms,Shower,Restaurants,Hotel,wifi,ADR is Not allowed,Refrigerated trucks are Not allowed to keep their refrigeration engine running.,DC 0 (max),AC 10 (max),AC 11 (max),AC 22 (max),DC 30 (max),DC 32 (max),DC 40 (max),DC 50 (max),DC 60 (max),DC 64 (max),DC 70 (max),DC90 (max),DC 100 (max),DC 110 (max),DC120 (max),DC138 (max),DC 150 (max),DC160 (max),DC175 (max),DC180 (max),DC 200 (max),DC 225 (max),DC 240 (max),DC 250 (max),DC 270 (max),DC 300 (max),DC 320 (max),DC 350 (max),DC 360 (max),DC 375 (max),DC 384 (max),DC 400 (max),DC 475 (max),DC 480 (max),DC 1000 (max),,,,,
,AS 24 -Reims 2,Chem. de Saint-Léonard,Reims,51100,33 2 40 92 24 24,https://network.as24.com/stationfinder/en/stations/7981,as24@as24.com,Yes,"Additional information: CCTV, lightning at night. The chargers are publicly accessible 24/7. The following payment methods are accepted: RFID. The facilities available: parking.",No,Yes,Yes,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,,,,,
,Milence Charging Hub Rouen,Allée de la Fosse Moret 251,Heudebouville,27600,-,https://milence.com/,info@milence.com,Yes,"Additional information: Please Note that one charging station has two outlets one for each parking bay. The chargers are publicly open 24/7. Allowed payment methods: Milence Official App, eMSP card. The following facilities are available: Secure parking, Drive through parking, Restaurant, Toilet and Shower.",No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,Watt'up Truck - Compans,17 Rue Elisabeth Boselli,Compans,77290,-,-,-,Yes,"Additional information: Type of plugs is CCS2. Payment method: Token + App + QR code. Open 24h/7. There is also a petrolstation at the same site present. CCTV, lightning, parking, acceptance of running refridegrated trailers, electric charging available for refridegerated trailers, ADR present at location.",No,No,No,No,No,No,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,Total Energies -Relais Bussy St Georges,"Autoroute de l'Est Aire De, A4",Bussy-Saint-Georges,77600,33 1 60 31 51 00,https://locator.totalenergies.com/NF059775?type=FUELING,ir@totalenergies.com,Yes,"Additional information: The chargers are publicly accessible 24/7. The following payment methods are accepted: bank cards, RFID, MSP cards. The facilities available : toilet, parking, restaurant, wifi and a shop.",No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
,Sammaris Marché de Rungis,A6a - Min Rungis exit,Rungis,40316,-,-,-,Yes,"Additional information: The chargers are publicly accessible 24/7. The following payment methods are accepted: bank cards, RFID, MSP cards. The facilities available : toilet, parking, restaurant, wifi and a shop.",No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,,,,1 Available,,,,1 Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open 24/7,,,,
,AS 24 - Plessis-Pate,15 Rue Léonard de Vinci,Le Plessis-Pâté,91220,33 2 40 92 24 24,https://network.as24.com/stationfinder/en/stations/7986,ebernotiene@as24.com,Yes,"Additional information: CCTV, lightning at night. The chargers are publicly accessible 24/7. The following payment methods are accepted: RFID. The facilities available: parking.",No,Yes,Yes,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Available,,,,Open 24/7,,,,
